,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
27,2021-01-28,DKI5 (Kebon Jeruk) Jakarta Barat,28,76,19,11,28,---,28,PM10
28,2021-01-29,DKI5 (Kebon Jeruk) Jakarta Barat,30,76,22,10,32,11,32,CO
29,2021-01-30,DKI5 (Kebon Jeruk) Jakarta Barat,24,76,17,8,27,10,27,CO
30,2021-01-31,DKI5 (Kebon Jeruk) Jakarta Barat,41,76,17,19,29,8,41,PM10
31,2021-02-01,DKI5 (Kebon Jeruk) Jakarta Barat,70,126,29,26,15,34,126,PM25
32,2021-02-02,DKI5 (Kebon Jeruk) Jakarta Barat,---,55,28,9,14,25,55,PM25
33,2021-02-03,DKI5 (Kebon Jeruk) Jakarta Barat,23,40,27,5,16,10,40,PM25
34,2021-02-04,DKI5 (Kebon Jeruk) Jakarta Barat,32,59,28,9,14,17,59,PM25
35,2021-02-05,DKI5 (Kebon Jeruk) Jakarta Barat,---,48,28,8,14,35,48,PM25
36,2021-02-06,DKI5 (Kebon Jeruk) Jakarta Barat,---,34,21,4,24,6,34,PM25
37,2021-02-07,DKI5 (Kebon Jeruk) Jakarta Barat,---,29,22,5,20,7,29,PM25
38,2021-02-08,DKI5 (Kebon Jeruk) Jakarta Barat,---,41,23,6,17,11,41,PM25
39,2021-02-09,DKI5 (Kebon Jeruk) Jakarta Barat,---,57,31,9,15,21,57,PM25
40,2021-02-10,DKI5 (Kebon Jeruk) Jakarta Barat,31,52,27,7,13,11,52,PM25
41,2021-02-11,DKI5 (Kebon Jeruk) Jakarta Barat,23,50,36,6,10,13,50,PM25
42,2021-02-12,DKI5 (Kebon Jeruk) Jakarta Barat,35,65,38,11,11,42,65,PM25
43,2021-02-13,DKI5 (Kebon Jeruk) Jakarta Barat,27,55,27,5,20,8,55,PM25
44,2021-02-14,DKI5 (Kebon Jeruk) Jakarta Barat,36,61,24,9,20,11,61,PM25
45,2021-02-15,DKI5 (Kebon Jeruk) Jakarta Barat,32,56,24,10,18,17,56,PM25
46,2021-02-16,DKI5 (Kebon Jeruk) Jakarta Barat,24,35,21,7,22,9,35,PM25
47,2021-02-17,DKI5 (Kebon Jeruk) Jakarta Barat,44,71,33,25,14,37,71,PM25
48,2021-02-18,DKI5 (Kebon Jeruk) Jakarta Barat,38,60,41,8,17,17,60,PM25
49,2021-02-19,DKI5 (Kebon Jeruk) Jakarta Barat,27,52,24,16,14,33,52,PM25
50,2021-02-20,DKI5 (Kebon Jeruk) Jakarta Barat,32,52,22,10,21,15,52,PM25
51,2021-02-21,DKI5 (Kebon Jeruk) Jakarta Barat,29,52,22,8,18,12,52,PM25
52,2021-02-22,DKI5 (Kebon Jeruk) Jakarta Barat,56,92,25,20,16,40,92,PM25
